station,longitude,latitude,stationid,latitude_station,longitude_station
0,8.25,53.75,DE_AlteWeser,53.8633,8.1275
1,8.75,54.25,DE_Eider,54.266,8.842
2,9.0,54.5,DE_Husum,54.472,9.025
3,8.5,54.75,DE_Wittduen,54.632,8.384
4,8.75,54.0,DE_Buesum,54.1222,8.8592
5,8.0,54.25,DE_Helgoland,54.1789,7.89
6,7.25,53.75,DE_Norderney,53.7,7.16
7,8.75,53.75,DE_Cuxhaven,53.8678,8.7175
8,8.25,54.75,DE_Hoernum,54.758,8.296
9,8.0,53.75,DE_Wangerooge,53.806,7.929
10,6.0,53.5,NL_Amelander Westgat platform,53.49164,5.9411945
11,2.0,56.5,NL_Aukfield platform,56.39904,2.0640204
12,3.75,51.75,NL_Brouwershavensche Gat 08,51.750755,3.8114827
13,3.5,51.75,"NL_Brouwershavensche Gat, punt 02",51.767628,3.617124
14,3.5,51.5,NL_Cadzand,51.3793,3.3762746
15,7.0,53.25,NL_Delfzijl,53.326355,6.9331226
16,4.75,53.0,NL_Den Helder,52.96436,4.7449903
17,6.0,53.5,NL_Engelsmanplaat noord,53.46339,6.0548267
18,3.25,52.0,NL_Euro platform,51.9978,3.2750368
19,4.75,54.75,NL_F3 platform,54.853188,4.726091
20,3.75,51.75,NL_Haringvliet 10,51.863132,3.8607655
21,4.0,52.0,NL_Haringvlietmond,51.895596,3.9332013
22,5.5,53.25,NL_Harlingen,53.175632,5.409342
23,6.0,53.5,NL_Holwerd,53.40197,5.876582
24,6.5,53.5,NL_Horsborngat,53.56529,6.6132646
25,6.5,53.5,NL_Huibertgat,53.57375,6.3984327
26,4.5,52.5,NL_IJmuiden stroommeetpaal,52.463943,4.517596
27,3.25,53.25,NL_K13a platform,53.217003,3.2188861
28,3.75,53.25,NL_K14 platform,53.266666,3.6333334
29,5.0,53.5,NL_L9 platform,53.616665,4.9666667
30,6.25,53.5,NL_Lauwersoog,53.408688,6.196952
31,3.75,52.0,NL_Lichteiland Goeree,51.925022,3.6683815
32,4.0,52.0,NL_Maasmond stroommeetpaal,51.992207,4.007711
33,5.75,53.5,NL_Nes,53.429768,5.7594476
34,4.25,52.25,NL_Noordwijk meetpost,52.273098,4.294775
35,1.25,61.25,NL_North Cormorant,61.239483,1.1476524
36,3.5,51.75,NL_Oosterschelde 11,51.642868,3.4810545
37,3.5,51.75,NL_Oosterschelde 13,51.733322,3.5548477
38,3.75,51.75,NL_Oosterschelde 14,51.721542,3.6759176
39,3.5,51.5,NL_Oosterschelde 15,51.58283,3.4710224
40,4.75,53.0,NL_Oudeschild,53.038834,4.850192
41,3.75,55.5,NL_Platform A12,55.383335,3.8
42,3.0,54.25,NL_Platform D15-A,54.32567,2.93575
43,4.0,54.0,NL_Platform F16-A,54.116665,4.0122223
44,4.25,53.0,NL_Platform Hoorn Q1-A,52.925354,4.1502857
45,3.0,53.75,NL_Platform J6,53.81663,2.9500096
46,6.25,53.5,NL_Schiermonnikoog,53.468937,6.2029076
47,5.25,53.5,NL_Terschelling Noordzee,53.442486,5.333033
48,4.75,53.0,NL_Texel Noordzee,53.120613,4.733193
49,3.25,51.5,NL_Vlakte van de Raan,51.50372,3.2421644
50,5.0,53.25,NL_Vlieland haven,53.296127,5.0914555
51,5.25,53.25,NL_West-Terschelling,53.363045,5.220026
52,3.5,51.5,NL_Westkapelle,51.521446,3.4400308
53,6.0,53.5,NL_Wierumergronden,53.515827,5.9582605
54,7.75,64.25,WL_draugen,64.35317,7.782606
55,3.25,56.5,WL_ekofisk,56.5,3.2
56,7.25,65.25,WL_heidrun,65.33,7.33
57,2.25,59.5,WL_heimdal,59.57,2.24
58,2.0,58.25,WL_sleipner,58.37,1.91
59,3.0,60.75,WL_veslefrikk,60.766666,2.883333
60,8.25,56.75,DK_4203,56.70753,8.208956
61,8.25,56.75,DK_4201,56.70537,8.222557
62,8.0,56.5,DK_4303,56.52461,8.115238
63,8.0,56.25,DK_5103,56.372223,8.113672
64,8.0,56.25,DK_5104,56.372223,8.113672
65,8.0,56.0,DK_5203,55.998802,8.114621
66,8.5,55.25,DK_7101,55.27611,8.57452
67,8.5,55.25,DK_7102,55.27611,8.57452
68,8.5,55.5,DK_6401,55.4713,8.423723
69,8.75,55.0,DK_6501,54.962673,8.661397
70,6.25,62.5,NO_AES,62.469414,6.151946
71,16.25,69.25,NO_ANX,69.326065,16.134848
72,5.25,60.5,NO_BGO,60.398045,5.320487
73,14.5,67.25,NO_BOO,67.29233,14.39977
74,16.5,68.75,NO_HAR,68.80126,16.548237
75,9.0,63.5,NO_HEI,63.425224,9.101504
76,23.75,70.75,NO_HFT,70.66464,23.683228
77,9.75,59.0,NO_HRO,58.995213,9.856379
78,26.0,71.0,NO_HVG,70.980316,25.972696
79,14.5,68.25,NO_KAB,68.21264,14.482149
80,7.75,63.0,NO_KSU,63.113857,7.734352
81,5.0,62.0,NO_MAY,61.933777,5.11331
82,8.75,63.75,NO_MSU,63.86933,8.665231
83,17.5,68.5,NO_NVK,68.42828,17.425758
84,12.0,79.0,NO_NYA,78.92854,11.938015
85,10.5,59.75,NO_OSC,59.678074,10.604861
86,10.75,60.0,NO_OSL,59.908558,10.73451
87,11.25,64.75,NO_RVK,64.85946,11.230107
88,5.75,59.0,NO_SVG,58.97434,5.730121
89,19.0,69.75,NO_TOS,69.64611,18.95479
90,10.5,63.5,NO_TRD,63.436485,10.391669
91,7.5,58.0,NO_TRG,58.00638,7.554759
92,31.0,70.25,NO_VAW,70.37498,31.104015
93,11.0,59.0,NO_VIK,59.036045,10.949769
94,11.25,59.0,SW_2130,58.9967,11.1272
95,11.75,57.75,SW_2109,57.6847,11.7906
96,11.25,58.25,SW_2111,58.3536,11.2178
97,11.5,58.0,SW_35104,57.888,11.5732
98,11.5,57.75,SW_35144,57.6317,11.6076
99,0.75,51.5,UK_Sheerness,51.442223,0.743056
100,0.0,57.25,UK_Aberdeen,57.144054,-2.080139
101,0.0,54.5,UK_Whitby,54.49008,-0.614167
102,0.0,60.25,UK_Lerwick,60.15403,-1.140306
103,0.0,50.75,UK_Newhaven,50.781776,0.057028
104,1.75,52.5,UK_Lowestoft,52.473,1.750833
105,0.0,58.5,UK_Wick,58.44097,-3.086306
